[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\tablib\formats\_csv.py first seen with mtime 1581707273.215961
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\distutils\sysconfig.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\pathlib.py first seen with mtime 1540060734.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\distutils\config.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\reader\excel.py first seen with mtime 1581707264.7829516
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\checks\messages.py first seen with mtime 1581700701.3964348
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\encodings\cp1252.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\odf\__init__.py first seen with mtime 1581707272.115193
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\checks\__init__.py first seen with mtime 1581700701.3924358
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\pytz\tzfile.py first seen with mtime 1581700680.4343936
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\tablib\core.py first seen with mtime 1581707273.2119718
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\backends\mysql\introspection.py first seen with mtime 1581700701.5814078
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\utils\timezone.py first seen with mtime 1581700702.1115148
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\contrib\messages\constants.py first seen with mtime 1581700698.7645576
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\db\backends\utils.py first seen with mtime 1581700701.546501
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\tablib\packages\dbfpy3\dbfnew.py first seen with mtime 1581707273.2679484
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\ast.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\views\i18n.py first seen with mtime 1581700702.136231
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\descriptors\serialisable.py first seen with mtime 1581707264.5870342
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\concurrent\futures\__init__.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\DLLs\unicodedata.pyd first seen with mtime 1540064200.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\openpyxl\worksheet\scenario.py first seen with mtime 1581707265.1271896
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\tablib\packages\dbfpy3\__init__.py first seen with mtime 1581707273.263968
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\forms\widgets.py first seen with mtime 1581700701.8093722
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\tablib\packages\dbfpy3\fields.py first seen with mtime 1581707273.2719471
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\Users\kevinorellana\AppData\Local\Programs\Python\Python36\Lib\email\encoders.py first seen with mtime 1540060728.0
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\views\decorators\debug.py first seen with mtime 1581700702.1463146
[18/Feb/2020 01:09:19] DEBUG [django.utils.autoreload:349] File C:\venv\venv0\Lib\site-packages\django\core\servers\__init__.py first seen with mtime 1581700701.5330608
